1	1	1	0
1		104	2
1		107	2
1		109	14
1		110	6
1		116	3
1		126	1
1		233	2
1		341	2
1		344	2
1		348	1
1		353	2
1		578	1
1	BRONX	101	37
1	BRONX	104	171
1	BRONX	105	39
1	BRONX	106	53
1	BRONX	107	48
1	BRONX	109	669
1	BRONX	110	51
1	BRONX	111	9
1	BRONX	112	657
1	BRONX	113	49
1	BRONX	114	29
1	BRONX	116	176
1	BRONX	117	14
1	BRONX	118	5
1	BRONX	121	19
1	BRONX	125	2
1	BRONX	126	44
1	BRONX	232	8
1	BRONX	233	131
1	BRONX	235	32
1	BRONX	236	8
1	BRONX	340	202
1	BRONX	341	383
1	BRONX	343	16
1	BRONX	344	134
1	BRONX	347	7
1	BRONX	348	7
1	BRONX	351	158
1	BRONX	352	9
1	BRONX	353	11
1	BRONX	355	3
1	BRONX	358	6
1	BRONX	359	17
1	BRONX	360	6
1	BRONX	361	259
1	BRONX	364	5
1	BRONX	365	6
1	BRONX	572	1
1	BRONX	578	265
1	BRONX	678	3
1	BROOKLYN	101	49
1	BROOKLYN	104	247
1	BROOKLYN	105	63
1	BROOKLYN	106	44
1	BROOKLYN	107	114
1	BROOKLYN	109	1476
1	BROOKLYN	110	67
1	BROOKLYN	111	6
1	BROOKLYN	112	967
1	BROOKLYN	113	71
1	BROOKLYN	114	20
1	BROOKLYN	115	1
1	BROOKLYN	116	314
1	BROOKLYN	117	21
1	BROOKLYN	118	13
1	BROOKLYN	121	41
1	BROOKLYN	124	2
1	BROOKLYN	125	1
1	BROOKLYN	126	77
1	BROOKLYN	232	8
1	BROOKLYN	233	368
1	BROOKLYN	235	21
1	BROOKLYN	236	5
1	BROOKLYN	340	282
1	BROOKLYN	341	680
1	BROOKLYN	342	2
1	BROOKLYN	343	36
1	BROOKLYN	344	136
1	BROOKLYN	345	2
1	BROOKLYN	347	11
1	BROOKLYN	348	13
1	BROOKLYN	351	226
1	BROOKLYN	352	4
1	BROOKLYN	353	16
1	BROOKLYN	355	7
1	BROOKLYN	358	12
1	BROOKLYN	359	10
1	BROOKLYN	360	9
1	BROOKLYN	361	411
1	BROOKLYN	364	2
1	BROOKLYN	365	8
1	BROOKLYN	578	365
1	BROOKLYN	677	1
1	BROOKLYN	678	4
1	MANHATTAN	101	31
1	MANHATTAN	104	137
1	MANHATTAN	105	25
1	MANHATTAN	106	35
1	MANHATTAN	107	78
1	MANHATTAN	109	1142
1	MANHATTAN	110	29
1	MANHATTAN	111	7
1	MANHATTAN	112	530
1	MANHATTAN	113	69
1	MANHATTAN	114	11
1	MANHATTAN	116	210
1	MANHATTAN	117	12
1	MANHATTAN	118	3
1	MANHATTAN	120	2
1	MANHATTAN	121	19
1	MANHATTAN	124	2
1	MANHATTAN	125	1
1	MANHATTAN	126	54
1	MANHATTAN	231	1
1	MANHATTAN	232	4
1	MANHATTAN	233	78
1	MANHATTAN	235	20
1	MANHATTAN	236	4
1	MANHATTAN	238	2
1	MANHATTAN	340	189
1	MANHATTAN	341	549
1	MANHATTAN	342	1
1	MANHATTAN	343	9
1	MANHATTAN	344	124
1	MANHATTAN	345	1
1	MANHATTAN	347	6
1	MANHATTAN	348	17
1	MANHATTAN	351	108
1	MANHATTAN	352	18
1	MANHATTAN	353	10
1	MANHATTAN	355	4
1	MANHATTAN	358	10
1	MANHATTAN	359	15
1	MANHATTAN	360	8
1	MANHATTAN	361	425
1	MANHATTAN	364	5
1	MANHATTAN	365	2
1	MANHATTAN	578	301
1	MANHATTAN	675	1
1	MANHATTAN	678	2
1	QUEENS	101	11
1	QUEENS	104	207
1	QUEENS	105	33
1	QUEENS	106	20
1	QUEENS	107	72
1	QUEENS	109	873
1	QUEENS	110	72
1	QUEENS	111	6
1	QUEENS	112	576
1	QUEENS	113	117
1	QUEENS	114	7
1	QUEENS	116	228
1	QUEENS	117	7
1	QUEENS	118	4
1	QUEENS	121	41
1	QUEENS	124	4
1	QUEENS	126	60
1	QUEENS	232	4
1	QUEENS	233	132
1	QUEENS	235	5
1	QUEENS	236	13
1	QUEENS	340	152
1	QUEENS	341	516
1	QUEENS	342	5
1	QUEENS	343	16
1	QUEENS	344	112
1	QUEENS	345	2
1	QUEENS	347	8
1	QUEENS	348	4
1	QUEENS	351	172
1	QUEENS	352	8
1	QUEENS	353	20
1	QUEENS	358	6
1	QUEENS	359	13
1	QUEENS	360	7
1	QUEENS	361	284
1	QUEENS	364	2
1	QUEENS	365	5
1	QUEENS	578	295
1	QUEENS	675	1
1	QUEENS	678	2
1	STATEN ISLAND	101	2
1	STATEN ISLAND	104	41
1	STATEN ISLAND	105	4
1	STATEN ISLAND	106	3
1	STATEN ISLAND	107	8
1	STATEN ISLAND	109	170
1	STATEN ISLAND	110	5
1	STATEN ISLAND	111	3
1	STATEN ISLAND	112	120
1	STATEN ISLAND	113	24
1	STATEN ISLAND	114	3
1	STATEN ISLAND	116	66
1	STATEN ISLAND	118	2
1	STATEN ISLAND	121	11
1	STATEN ISLAND	124	1
1	STATEN ISLAND	126	10
1	STATEN ISLAND	232	1
1	STATEN ISLAND	233	50
1	STATEN ISLAND	235	1
1	STATEN ISLAND	236	2
1	STATEN ISLAND	340	80
1	STATEN ISLAND	341	129
1	STATEN ISLAND	343	2
1	STATEN ISLAND	344	10
1	STATEN ISLAND	347	3
1	STATEN ISLAND	351	54
1	STATEN ISLAND	352	4
1	STATEN ISLAND	353	6
1	STATEN ISLAND	355	1
1	STATEN ISLAND	358	3
1	STATEN ISLAND	359	4
1	STATEN ISLAND	361	82
