01/31/2006,802
01/31/2007,859
01/31/2008,958
01/31/2009,955
01/31/2010,745
01/31/2011,761
01/31/2012,1007
01/31/2013,981
01/31/2014,1107
01/31/2015,846
02/01/2006,1155
02/01/2007,1112
02/01/2008,1255
02/01/2009,1058
02/01/2010,1075
02/01/2011,1102
02/01/2012,1301
02/01/2013,1284
02/01/2014,1336
02/01/2015,1046
02/02/2006,960
02/02/2007,1075
02/02/2008,1040
02/02/2009,900
02/02/2010,956
02/02/2011,800
02/02/2012,1047
02/02/2013,1028
02/02/2014,1035
02/02/2015,682
02/03/2006,1034
02/03/2007,906
02/03/2008,971
02/03/2009,741
02/03/2010,992
02/03/2011,945
02/03/2012,1069
02/03/2013,790
02/03/2014,878
02/03/2015,728
02/04/2006,884
02/04/2007,721
02/04/2008,880
02/04/2009,859
02/04/2010,934
02/04/2011,1056
02/04/2012,1051
02/04/2013,862
02/04/2014,909
02/04/2015,908
02/05/2006,771
02/05/2007,746
02/05/2008,943
02/05/2009,839
02/05/2010,1107
02/05/2011,949
02/05/2012,862
02/05/2013,930
02/05/2014,878
02/05/2015,890
02/06/2006,924
02/06/2007,791
02/06/2008,996
02/06/2009,973
02/06/2010,910
02/06/2011,808
02/06/2012,945
02/06/2013,955
02/06/2014,997
02/06/2015,953
02/07/2006,882
02/07/2007,904
02/07/2008,958
02/07/2009,902
02/07/2010,768
02/07/2011,843
02/07/2012,982
02/07/2013,1011
02/07/2014,1120
02/07/2015,951
02/08/2006,902
02/08/2007,915
02/08/2008,1093
02/08/2009,818
02/08/2010,768
02/08/2011,877
02/08/2012,1054
02/08/2013,850
02/08/2014,1030
02/08/2015,833
02/09/2006,880
02/09/2007,962
02/09/2008,946
02/09/2009,860
02/09/2010,871
02/09/2011,937
02/09/2012,1008
02/09/2013,705
02/09/2014,915
02/09/2015,813
02/10/2006,1001
02/10/2007,920
02/10/2008,799
02/10/2009,1022
02/10/2010,647
02/10/2011,1022
02/10/2012,1225
02/10/2013,795
02/10/2014,881
02/10/2015,888
02/11/2006,867
02/11/2007,738
02/11/2008,782
02/11/2009,1045
02/11/2010,748
02/11/2011,1136
02/11/2012,987
02/11/2013,815
02/11/2014,954
02/11/2015,942
02/12/2006,450
02/12/2007,811
02/12/2008,770
02/12/2009,1001
02/12/2010,1015
02/12/2011,981
02/12/2012,847
02/12/2013,999
02/12/2014,1009
02/12/2015,954
02/13/2006,650
02/13/2007,890
02/13/2008,801
02/13/2009,1069
02/13/2010,939
02/13/2011,841
02/13/2012,869
02/13/2013,1039
02/13/2014,687
02/13/2015,943
02/14/2006,802
02/14/2007,711
02/14/2008,930
02/14/2009,920
02/14/2010,722
02/14/2011,883
02/14/2012,948
02/14/2013,992
02/14/2014,1008
02/14/2015,955
02/15/2006,946
02/15/2007,818
02/15/2008,1178
02/15/2009,893
02/15/2010,729
02/15/2011,1014
02/15/2012,1045
02/15/2013,1212
02/15/2014,1021
02/15/2015,869
02/16/2006,907
02/16/2007,933
02/16/2008,950
02/16/2009,843
02/16/2010,778
02/16/2011,1045
02/16/2012,990
02/16/2013,1014
02/16/2014,847
02/16/2015,770
02/17/2006,1085
02/17/2007,874
02/17/2008,810
02/17/2009,898
02/17/2010,875
02/17/2011,1080
02/17/2012,1184
02/17/2013,895
02/17/2014,867
02/17/2015,816
02/18/2006,829
02/18/2007,796
02/18/2008,836
02/18/2009,896
02/18/2010,937
02/18/2011,1122
02/18/2012,1066
02/18/2013,839
02/18/2014,958
02/18/2015,941
02/19/2006,716
02/19/2007,754
02/19/2008,942
02/19/2009,861
02/19/2010,974
02/19/2011,963
02/19/2012,847
02/19/2013,880
02/19/2014,946
02/19/2015,819
02/20/2006,764
02/20/2007,940
02/20/2008,910
02/20/2009,977
02/20/2010,1031
02/20/2011,844
02/20/2012,850
02/20/2013,948
02/20/2014,1037
02/20/2015,907
02/21/2006,852
02/21/2007,918
02/21/2008,906
02/21/2009,992
