61.0,80.0,2015,604
85.0,48.0,2015,152
56.0,73.0,2015,561
95.0,38.0,2015,79
48.0,58.0,2015,861
54.0,40.0,2015,355
48.0,54.0,2015,749
62.0,84.0,2015,592
65.0,86.0,2015,479
53.0,65.0,2015,248
65.0,78.0,2015,766
48.0,57.0,2015,1306
48.0,63.0,2015,1388
59.0,35.0,2015,128
85.0,51.0,2015,181
52.0,62.0,2015,267
65.0,87.0,2015,766
52.0,26.0,2015,99
71.0,44.0,2015,200
53.0,38.0,2015,542
64.0,61.0,2015,133
68.0,42.0,2015,372
62.0,39.0,2015,344
51.0,21.0,2015,107
42.0,33.0,2015,297
65.0,41.0,2015,580
55.0,48.0,2015,377
17.0,30.0,2015,72
62.0,82.0,2015,681
55.0,71.0,2015,485
64.0,79.0,2015,500
48.0,59.0,2015,595
66.0,64.0,2015,111
63.0,81.0,2015,783
67.0,90.0,2015,247
31.0,24.0,2015,71
44.0,53.0,2015,198
42.0,35.0,2015,116
52.0,72.0,2015,657
60.0,44.0,2015,450
53.0,52.0,2015,345
72.0,51.0,2015,42
71.0,83.0,2015,108
49.0,49.0,2015,325
48.0,51.0,2015,99
71.0,91.0,2015,220
56.0,42.0,2015,216
70.0,61.0,2015,365
60.0,42.0,2015,362
90.0,23.0,2015,130
63.0,44.0,2015,335
92.0,24.0,2015,148
56.0,50.0,2015,422
56.0,71.0,2015,715
57.0,44.0,2015,403
47.0,58.0,2015,719
90.0,48.0,2015,81
25.0,34.0,2015,132
48.0,39.0,2015,110
53.0,35.0,2015,341
20.0,31.0,2015,120
56.0,33.0,2015,199
90.0,52.0,2015,117
68.0,61.0,2015,305
69.0,58.0,2015,100
59.0,81.0,2015,590
62.0,79.0,2015,411
64.0,33.0,2015,103
47.0,34.0,2015,129
58.0,65.0,2015,122
50.0,23.0,2015,125
90.0,27.0,2015,210
76.0,93.0,2015,181
84.0,50.0,2015,252
91.0,54.0,2015,62
83.0,44.0,2015,111
87.0,41.0,2015,70
45.0,43.0,2015,443
67.0,40.0,2015,337
52.0,64.0,2015,671
59.0,31.0,2015,150
84.0,84.0,2015,30
63.0,84.0,2015,648
78.0,45.0,2015,226
31.0,36.0,2015,161
30.0,35.0,2015,152
17.0,31.0,2015,138
59.0,63.0,2015,174
46.0,58.0,2015,673
54.0,73.0,2015,463
65.0,81.0,2015,279
61.0,37.0,2015,149
49.0,44.0,2015,236
46.0,56.0,2015,722
61.0,49.0,2015,378
71.0,60.0,2015,211
66.0,39.0,2015,343
56.0,34.0,2015,513
